"Goals","Team","Opponent","Year","GroupStage","GDP","MarketValue","FifaRank","UefaPoints","CLPlayers"
5,"Germany","Scotland",2024,0,0.0546869652513298,1.41176283277795,-23,50119,8.84615384615385
1,"Scotland","Germany",2024,0,-0.0546869652513298,-1.41176283277795,23,-50119,-8.84615384615385
1,"Hungary","Switzerland",2024,0,-1.62357230507564,-0.539300498303048,7,-11100,-0.884615384615385
3,"Switzerland","Hungary",2024,0,1.62357230507564,0.539300498303048,-7,11100,0.884615384615385
3,"Spain","Croatia",2024,0,0.468719175903018,1.0805475461638,-2,63714,2.65384615384615
0,"Croatia","Spain",2024,0,-0.468719175903018,-1.0805475461638,2,-63714,-2.65384615384615
2,"Italy","Albania",2024,0,1.63053219146434,1.84398572134566,-57,91623,0.884615384615385
1,"Albania","Italy",2024,0,-1.63053219146434,-1.84398572134566,57,-91623,-0.884615384615385
1,"Poland","Netherlands",2024,0,-1.11560816152464,-1.39080154464852,21,-35925,-1.76923076923077
2,"Netherlands","Poland",2024,0,1.11560816152464,1.39080154464852,-21,35925,1.76923076923077
1,"Slovenia","Denmark",2024,0,-0.8686441751743,-1.07506500019748,36,-18200,0
1,"Denmark","Slovenia",2024,0,0.8686441751743,1.07506500019748,-36,18200,0
0,"Serbia","England",2024,0,-1.57610924015804,-1.58410365721665,29,-76528,-1.76923076923077
1,"England","Serbia",2024,0,1.57610924015804,1.58410365721665,-29,76528,1.76923076923077
3,"Romania","Ukraine",2024,0,1.24756959573258,-1.41433558196159,24,-6625,-0.884615384615385
0,"Ukraine","Romania",2024,0,-1.24756959573258,1.41433558196159,-24,6625,0.884615384615385
0,"Belgium","Slovakia",2024,0,0.853881088551722,1.35564434470343,-45,29175,0
1,"Slovakia","Belgium",2024,0,-0.853881088551722,-1.35564434470343,45,-29175,0
0,"Austria","France",2024,0,0.242076195993311,-1.69227924806327,23,-34231,-7.43076923076923
1,"France","Austria",2024,0,-0.242076195993311,1.69227924806327,-23,34231,7.43076923076923
3,"Turkey","Georgia",2024,0,0.469488515323929,0.704941234092335,-35,30975,1.76923076923077
1,"Georgia","Turkey",2024,0,-0.469488515323929,-0.704941234092335,35,-30975,-1.76923076923077
2,"Portugal","Czech Republic",2024,0,-0.104897024171489,1.68920288090296,-30,20266,3.53846153846154
1,"Czech Republic","Portugal",2024,0,0.104897024171489,-1.68920288090296,30,-20266,-3.53846153846154
2,"Croatia","Albania",2024,0,1.00316211090968,1.07717750575756,-56,18150,0.884615384615385
2,"Albania","Croatia",2024,0,-1.00316211090968,-1.07717750575756,56,-18150,-0.884615384615385
2,"Germany","Hungary",2024,0,0.974230657623016,1.64380555593831,-10,64749,8.84615384615385
0,"Hungary","Germany",2024,0,-0.974230657623016,-1.64380555593831,10,-64749,-8.84615384615385
1,"Scotland","Switzerland",2024,0,-0.704028612703949,-0.307257775142687,20,3530,-0.884615384615385
1,"Switzerland","Scotland",2024,0,0.704028612703949,0.307257775142687,-20,-3530,0.884615384615385
1,"Slovenia","Serbia",2024,0,1.09251962516477,-0.787944342525649,24,-14525,0
1,"Serbia","Slovenia",2024,0,-1.09251962516477,0.787944342525649,-24,14525,0
1,"Denmark","England",2024,0,0.385054560181032,-1.29698299954482,17,-72853,-1.76923076923077
1,"England","Denmark",2024,0,-0.385054560181032,1.29698299954482,-17,72853,1.76923076923077
1,"Spain","Italy",2024,0,-0.158650904651639,0.313739330575701,-1,-9759,2.65384615384615
0,"Italy","Spain",2024,0,0.158650904651639,-0.313739330575701,1,9759,-2.65384615384615
1,"Slovakia","Ukraine",2024,0,1.54507229209601,-0.883203055720451,26,-8375,-0.884615384615385
2,"Ukraine","Slovakia",2024,0,-1.54507229209601,0.883203055720451,-26,8375,0.884615384615385
1,"Poland","Austria",2024,0,-1.02498963295832,-0.113175830747819,3,-7225,-1.76923076923077
3,"Austria","Poland",2024,0,1.02498963295832,0.113175830747819,-3,7225,1.76923076923077
0,"Netherlands","France",2024,0,0.332694724559625,-0.414653534162571,5,-5531,-7.43076923076923
0,"France","Netherlands",2024,0,-0.332694724559625,0.414653534162571,-5,5531,7.43076923076923
1,"Georgia","Czech Republic",2024,0,-1.40582523231917,-0.191231686193439,39,-28425,0
1,"Czech Republic","Georgia",2024,0,1.40582523231917,0.191231686193439,-39,28425,0
0,"Turkey","Portugal",2024,0,-0.831439692823748,-1.17549333300407,34,-17716,-1.76923076923077
3,"Portugal","Turkey",2024,0,0.831439692823748,1.17549333300407,-34,17716,1.76923076923077
2,"Belgium","Romania",2024,0,1.15138378491515,1.88677687094456,-43,27425,0
0,"Romania","Belgium",2024,0,-1.15138378491515,-1.88677687094456,43,-27425,0
1,"Switzerland","Germany",2024,0,0.649341647452619,-1.10450505763526,3,-53649,-7.96153846153846
1,"Germany","Switzerland",2024,0,-0.649341647452619,1.10450505763526,-3,53649,7.96153846153846
0,"Scotland","Hungary",2024,0,0.919543692371686,0.232042723160361,13,14630,0
1,"Hungary","Scotland",2024,0,-0.919543692371686,-0.232042723160361,-13,-14630,0
0,"Albania","Spain",2024,0,-1.4718812868127,-2.15772505192136,58,-81864,-3.53846153846154
1,"Spain","Albania",2024,0,1.4718812868127,2.15772505192136,-58,81864,3.53846153846154
1,"Croatia","Italy",2024,0,-0.627370080554657,-0.7668082155881,1,-73473,0
1,"Italy","Croatia",2024,0,0.627370080554657,0.7668082155881,-1,73473,0
2,"Netherlands","Austria",2024,0,0.0906185285663135,1.2776257139007,-18,28700,0
3,"Austria","Netherlands",2024,0,-0.0906185285663135,-1.2776257139007,18,-28700,0
1,"France","Poland",2024,0,0.782913436965011,1.80545507881109,-26,41456,9.2
1,"Poland","France",2024,0,-0.782913436965011,-1.80545507881109,26,-41456,-9.2
0,"England","Slovenia",2024,0,0.483589614993267,2.37204799974229,-53,91053,1.76923076923077
0,"Slovenia","England",2024,0,-0.483589614993267,-2.37204799974229,53,-91053,-1.76923076923077
0,"Denmark","Serbia",2024,0,1.96116380033907,0.287120657671827,-12,3675,0
0,"Serbia","Denmark",2024,0,-1.96116380033907,-0.287120657671827,12,-3675,0
1,"Slovakia","Romania",2024,0,0.297502696363427,0.531132526241134,2,-1750,0
1,"Romania","Slovakia",2024,0,-0.297502696363427,-0.531132526241134,-2,1750,0
0,"Ukraine","Belgium",2024,0,-2.39895338064773,-0.472441288982978,19,-20800,0.884615384615385
0,"Belgium","Ukraine",2024,0,2.39895338064773,0.472441288982978,-19,20800,-0.884615384615385
2,"Georgia","Portugal",2024,0,-1.30092820814768,-1.8804345670964,69,-48691,-3.53846153846154
0,"Portugal","Georgia",2024,0,1.30092820814768,1.8804345670964,-69,48691,3.53846153846154
1,"Czech Republic","Turkey",2024,0,0.936336716995237,-0.513709547898896,-4,-2550,-1.76923076923077
2,"Turkey","Czech Republic",2024,0,-0.936336716995237,0.513709547898896,4,2550,1.76923076923077
2,"Switzerland","Italy",2024,0,0.986451223302772,-0.916999700354755,10,-66023,0
0,"Italy","Switzerland",2024,0,-0.986451223302772,0.916999700354755,-10,66023,0
2,"Germany","Denmark",2024,0,-0.330367594929703,0.716929514277871,-5,55174,8.84615384615385
0,"Denmark","Germany",2024,0,0.330367594929703,-0.716929514277871,5,-55174,-8.84615384615385
2,"England","Slovakia",2024,0,0.774684762223234,2.27213246447835,-44,84678,1.76923076923077
1,"Slovakia","England",2024,0,-0.774684762223234,-2.27213246447835,44,-84678,-1.76923076923077
4,"Spain","Georgia",2024,0,1.49191888686781,1.7965352258134,-67,81614,3.53846153846154
1,"Georgia","Spain",2024,0,-1.49191888686781,-1.7965352258134,67,-81614,-3.53846153846154
1,"France","Belgium",2024,0,-0.19976288912224,0.74401266745434,-1,18031,9.2
0,"Belgium","France",2024,0,0.19976288912224,-0.74401266745434,1,-18031,-9.2
0,"Portugal","Slovenia",2024,0,-0.148474578977323,2.00212782905354,-51,43066,3.53846153846154
0,"Slovenia","Portugal",2024,0,0.148474578977323,-2.00212782905354,51,-43066,-3.53846153846154
0,"Romania","Netherlands",2024,0,-1.28431562035253,-2.21613600423633,39,-39925,-1.76923076923077
3,"Netherlands","Romania",2024,0,1.28431562035253,2.21613600423633,-39,39925,1.76923076923077
1,"Austria","Turkey",2024,0,1.5850135199939,-0.319341196691029,-15,-6000,0
2,"Turkey","Austria",2024,0,-1.5850135199939,0.319341196691029,15,6000,0
2,"Spain","Germany",2024,0,-0.495760480501792,0.126233973295195,-8,2615,-5.30769230769231
1,"Germany","Spain",2024,0,0.495760480501792,-0.126233973295195,8,-2615,5.30769230769231
0,"Portugal","France",2024,0,-0.511497631176837,-0.197444718368175,4,-10515,-5.66153846153846
0,"France","Portugal",2024,0,0.511497631176837,0.197444718368175,-4,10515,5.66153846153846
1,"England","Switzerland",2024,0,-0.704028612703949,1.68455854290221,-15,71328,0.884615384615385
1,"Switzerland","England",2024,0,0.704028612703949,-1.68455854290221,15,-71328,-0.884615384615385
2,"Netherlands","Turkey",2024,0,1.67563204856021,0.958284517209672,-33,22700,0
1,"Turkey","Netherlands",2024,0,-1.67563204856021,-0.958284517209672,33,-22700,0
2,"Spain","France",2024,0,-0.320506952456709,-0.281344059651175,6,22408,-5.66153846153846
1,"France","Spain",2024,0,0.320506952456709,0.281344059651175,-6,-22408,5.66153846153846
1,"Netherlands","England",2024,0,0.212128161765872,-0.587128986483148,3,-43003,0
2,"England","Netherlands",2024,0,-0.212128161765872,0.587128986483148,-3,43003,0
2,"Spain","England",2024,0,-0.441073515250462,-0.453819511971753,4,-15064,1.76923076923077
1,"England","Spain",2024,0,0.441073515250462,0.453819511971753,-4,15064,-1.76923076923077
